func_names,num_calls,call_stack,severity,exclusive_runtimes,TotalRuntimeSum(AllFunc),severity_trunc,sev_bin_upper_bound
hipLaunchKernel,1,8ceacb,1.0,4480715,4645539,1.0,1.0
hipMalloc,4,87461d,4.5974805360305216e-05,206,,0.0,0.1
hipMalloc,4,87461d,1.1605290673475103e-05,52,,0.0,0.1
hipMalloc,4,87461d,1.1158933339879908e-05,50,,0.0,0.1
hipMalloc,1,12bfcb,1.9416544011391038e-05,87,,0.0,0.1
hipStreamSynchronize,2,b6e2ab,4.909930669547159e-06,22,,0.0,0.1
hipGetLastError,8,c0da70,4.463573335951963e-07,2,,0.0,0.1
"void CP_ReleaseTimestepHandler(CManager, CMConnection, void *, void *, attr_list) [{/tmp/ckelly/spack-stage/spack-stage-adios2-2.8.3-b274vweejplvgumiokt64geajozwiuc3/spack-src/source/adios2/toolkit/sst/cp/cp_writer.c} {2557,0}]",5,67220c,4.530526935991243e-05,203,,0.0,0.1
"void CP_ReleaseTimestepHandler(CManager, CMConnection, void *, void *, attr_list) [{/tmp/ckelly/spack-stage/spack-stage-adios2-2.8.3-b274vweejplvgumiokt64geajozwiuc3/spack-src/source/adios2/toolkit/sst/cp/cp_writer.c} {2557,0}]",5,67220c,3.3476800019639724e-05,150,,0.0,0.1
"void CP_ReleaseTimestepHandler(CManager, CMConnection, void *, void *, attr_list) [{/tmp/ckelly/spack-stage/spack-stage-adios2-2.8.3-b274vweejplvgumiokt64geajozwiuc3/spack-src/source/adios2/toolkit/sst/cp/cp_writer.c} {2557,0}]",5,67220c,3.236090668565173e-05,145,,0.0,0.1
"void CP_ReleaseTimestepHandler(CManager, CMConnection, void *, void *, attr_list) [{/tmp/ckelly/spack-stage/spack-stage-adios2-2.8.3-b274vweejplvgumiokt64geajozwiuc3/spack-src/source/adios2/toolkit/sst/cp/cp_writer.c} {2557,0}]",5,67220c,3.280726401924693e-05,147,,0.0,0.1
"void CP_ReleaseTimestepHandler(CManager, CMConnection, void *, void *, attr_list) [{/tmp/ckelly/spack-stage/spack-stage-adios2-2.8.3-b274vweejplvgumiokt64geajozwiuc3/spack-src/source/adios2/toolkit/sst/cp/cp_writer.c} {2557,0}]",5,67220c,4.9322485362269195e-05,221,,0.0,0.1
"Grid::Lattice<Grid::iVector<Grid::iScalar<Grid::iMatrix<Grid::Grid_simd<thrust::complex<double>, Grid::GpuVector<4, Grid::GpuComplex<HIP_vector_type<double, 2u> > > >, 3> >, 4> >& Grid::Lattice<Grid::iVector<Grid::iScalar<Grid::iMatrix<Grid::Grid_simd<thrust::complex<double>, Grid::GpuVector<4, Grid::GpuComplex<HIP_vector_type<double, 2u> > > >, 3> >, 4> >::operator=<Grid::BinaryMul, Grid::Lattice<Grid::iVector<Grid::iScalar<Grid::iMatrix<Grid::Grid_simd<thrust::complex<double>, Grid::GpuVector<4, Grid::GpuComplex<HIP_vector_type<double, 2u> > > >, 3> >, 4> >, double>(Grid::LatticeBinaryExpression<Grid::BinaryMul, Grid::Lattice<Grid::iVector<Grid::iScalar<Grid::iMatrix<Grid::Grid_simd<thrust::complex<double>, Grid::GpuVector<4, Grid::GpuComplex<HIP_vector_type<double, 2u> > > >, 3> >, 4> >, double> const&) [{/autofs/nccs-svm1_home1/ckelly/src/Grid_crusher_Xconj/Grid/Grid/lattice/Lattice_base.h} {142}]",1,724feb,3.7940373355591684e-06,17,,0.0,0.1
"Grid::uvmAllocator<int>::deallocate(int*, unsigned long) [{/autofs/nccs-svm1_home1/ckelly/src/Grid_crusher_Xconj/Grid/Grid/allocator/AlignedAllocator.h} {107}]",2,319149,4.463573335951963e-07,2,,0.0,0.1
"Grid::uvmAllocator<int>::deallocate(int*, unsigned long) [{/autofs/nccs-svm1_home1/ckelly/src/Grid_crusher_Xconj/Grid/Grid/allocator/AlignedAllocator.h} {107}]",1,30d6df,4.463573335951963e-07,2,,0.0,0.1
"Grid::uvmAllocator<int>::allocate(unsigned long, void const*) [{/autofs/nccs-svm1_home1/ckelly/src/Grid_crusher_Xconj/Grid/Grid/allocator/AlignedAllocator.h} {98}]",2,64f6c9,4.463573335951963e-07,2,,0.0,0.1
"Grid::uvmAllocator<int>::allocate(unsigned long, void const*) [{/autofs/nccs-svm1_home1/ckelly/src/Grid_crusher_Xconj/Grid/Grid/allocator/AlignedAllocator.h} {98}]",1,dd36c8,4.463573335951963e-07,2,,0.0,0.1
"Grid::alignedAllocator<Grid::iVector<Grid::iScalar<Grid::iMatrix<Grid::Grid_simd<thrust::complex<double>, Grid::GpuVector<4, Grid::GpuComplex<HIP_vector_type<double, 2u> > > >, 3> >, 8> >::allocate(unsigned long, void const*) [{/autofs/nccs-svm1_home1/ckelly/src/Grid_crusher_Xconj/Grid/Grid/allocator/AlignedAllocator.h} {52}]",3,d395d0,2.2317866679759814e-06,10,,0.0,0.1
"Grid::alignedAllocator<Grid::iVector<Grid::iScalar<Grid::iMatrix<Grid::Grid_simd<thrust::complex<double>, Grid::GpuVector<4, Grid::GpuComplex<HIP_vector_type<double, 2u> > > >, 3> >, 8> >::allocate(unsigned long, void const*) [{/autofs/nccs-svm1_home1/ckelly/src/Grid_crusher_Xconj/Grid/Grid/allocator/AlignedAllocator.h} {52}]",3,d395d0,4.463573335951963e-07,2,,0.0,0.1
