,level_0,index,call_stack,all_func_names,num_calls,severity,exclusive_runtimes,TotalRuntimeSum(AllFunc),severity_trunc,sev_bin_upper_bound
0,0,27,1ffd9d,"Grid::Grid_init(int*, char***) [{/autofs/nccs-svm1_home1/ckelly/src/Grid_crusher_Xconj/Grid/Grid/util/Init.cc} {289}]",1,1.0,3391016,,1.0,1.0
1,1,797,03d855,"OpenMP_Parallel_Region void Grid::GridParallelRNG::fill<Grid::iScalar<Grid::iVector<Grid::iVector<Grid::Grid_simd<thrust::complex<double>, Grid::GpuVector<4, Grid::GpuComplex<HIP_vector_type<double, 2u> > > >, 3>, 4> >, std::normal_distribution<double> >(Grid::Lattice<Grid::iScalar<Grid::iVector<Grid::iVector<Grid::Grid_simd<thrust::complex<double>, Grid::GpuVector<4, Grid::GpuComplex<HIP_vector_type<double, 2u> > > >, 3>, 4> > >&, std::vector<std::normal_distribution<double>, std::allocator<std::normal_distribution<double> > >&) [{/autofs/nccs-svm1_home1/ckelly/bld/Grid_crusher_Xconj_PrgEnv-amd_TAUinst_select/HMC/Mobius2p1fIwasakiXconj3dirs_16I} {0, 0}]",5,0.2447143406915038,829831,,0.24,0.3
2,2,839,3f7b17,hipLaunchKernel,1,0.2091450494910816,709215,,0.2,0.3
3,3,683,5be719,hipLaunchKernel,1,0.1504897501190646,510314,,0.15,0.2
4,4,694,db8018,hipLaunchKernel,1,0.142000551457307,481527,,0.14,0.2
5,5,849,de3a76,hipLaunchKernel,1,0.1347006722176103,456773,,0.13,0.2
6,6,200,61a3b0,hipLaunchKernel,1,0.1280442581351011,434201,,0.12,0.2
7,7,91,8ceacb,hipLaunchKernel,1,0.1242866811264473,421459,,0.12,0.2
8,8,693,233a55,hipLaunchKernel,1,0.1241867110584883,421120,,0.12,0.2
9,9,90,5253f9,hipLaunchKernel,1,0.1222630982169055,414597,,0.12,0.2
